N, Heap Size, Time
2873828,45981264,21.886000
4554565,72873056,25.300000
8487377,135798048,57.147000
2214941,35439072,17.918000
1109386,17750192,6.312000
6796757,108748128,56.140000
763921,12222752,4.585000
5186965,82991456,28.202000
2187811,35004992,12.435000
7699303,123188864,42.278000
8031345,128501536,84.868000
9610304,153764880,63.448000
4601985,73631776,55.892000
1232067,19713088,6.812000
698406,11174512,5.127000
2539164,40626640,14.595000
1213743,19419904,12.674000
1287195,20595136,8.431000
1359111,21745792,14.605000
5828484,93255760,66.270000
528933,8462944,4.859000
911645,14586336,10.189000
76998,1231984,0.370000
416900,6670416,4.266000
500003,8000064,4.086000
75331,1205312,0.491000
402241,6435872,2.368000
358123,5729984,3.040000
448857,7181728,3.214000
52735,843776,0.260000
420922,6734768,2.643000
730245,11683936,6.041000
950864,15213840,5.731000
131731,2107712,0.693000
870360,13925776,9.071000
31159,498560,0.152000
751746,12027952,4.458000
834503,13352064,4.877000
683692,10939088,4.124000
199397,3190368,2.035000
22708,363344,0.462000
64161,1026592,1.236000
72124,1154000,1.307000
62914,1006640,0.875000
53167,850688,0.376000
79143,1266304,0.474000
46093,737504,0.388000
48269,772320,0.232000
92654,1482480,0.772000
17917,286688,0.085000
51332,821328,0.450000
83039,1328640,0.480000
72792,1164688,0.631000
13475,215616,0.090000
98941,1583072,0.789000
44915,718656,0.203000
43650,698416,0.215000
95839,1533440,0.865000
15134,242160,0.130000
46515,744256,0.389000
6762,108208,0.116000
7176,114832,0.152000
7878,126064,0.241000
9766,156272,0.202000
716,11472,0.019000
8350,133616,0.307000
2248,35984,0.072000
2115,33856,0.077000
4437,71008,0.142000
6560,104976,0.122000
2628,42064,0.076000
3893,62304,0.069000
3966,63472,0.071000
1933,30944,0.052000
563,9024,0.015000
4694,75120,0.088000
4648,74384,0.084000
2223,35584,0.040000
5038,80624,0.100000
4278,68464,0.105000
969,15520,0.020000
716,11472,0.019000
580,9296,0.012000
818,13104,0.019000
927,14848,0.024000
527,8448,0.008000
29,480,0.001000
687,11008,0.018000
386,6192,0.005000
626,10032,0.017000
987,15808,0.021000
222,3568,0.003000
655,10496,0.017000
842,13488,0.013000
927,14848,0.025000
527,8448,0.008000
29,480,0.001000
687,11008,0.018000
386,6192,0.008000
626,10032,0.017000
71,1152,0.001000
96,1552,0.002000
55,896,0.001000
8,144,0.000000
24,400,0.000000
59,960,0.001000
51,832,0.001000
63,1024,0.001000
4,80,0.000000
41,672,0.002000
33,544,0.001000
40,656,0.001000
51,832,0.001000
63,1024,0.001000
4,80,0.000000
41,672,0.001000
33,544,0.000000
40,656,0.001000
51,832,0.001000
63,1024,0.001000
5,96,0.001000
4,80,0.000000
4,80,0.000000
4,80,0.001000
4,80,0.000000
1,32,0.001000
2,48,0.000000
3,64,0.001000
4,80,0.000000
5,96,0.000000
6,112,0.001000
7,128,0.000000
8,144,0.000000
9,160,0.000000
12945357,207125728,57.322000
13288487,212615808,114.285000
4538823,72621184,45.613000
2502234,40035760,18.053000
7336998,117391984,40.017000
8821020,141136336,75.734000
2381170,38098736,22.908000
13359207,213747328,65.419000
11914175,190626816,66.481000
12792264,204676240,129.412000
1767212,28275408,17.151000
7766112,124257808,75.750000
12066388,193062224,59.245000
1899307,30388928,14.141000
7061232,112979728,68.952000
8840010,141440176,51.200000
11592229,185475680,112.351000
8545575,136729216,43.320000
5513335,88213376,48.089000
4198225,67171616,29.039000
